Number of Branches Processed,Accuracy (%)
10000,97.78999999999999
20000,98.465
30000,98.7
40000,98.8325
50000,98.894
60000,98.94833333333334
70000,98.99428571428571
80000,99.02499999999999
90000,99.05666666666667
100000,99.077
110000,99.10636363636364
120000,99.125
130000,99.14692307692307
140000,98.96142857142857
150000,98.97733333333333
160000,99.005625
170000,99.03117647058824
180000,99.04944444444445
190000,99.05315789473684
200000,99.066
210000,99.07428571428571
220000,99.08954545454546
230000,99.10217391304347
240000,99.10916666666667
250000,99.1136
260000,99.11423076923077
270000,99.11222222222223
280000,99.11714285714285
290000,99.12206896551724
300000,99.13033333333333
310000,99.13354838709677
320000,99.13437499999999
330000,99.14424242424242
340000,99.14911764705883
350000,99.15628571428572
360000,99.16027777777778
370000,99.16810810810811
380000,99.16789473684211
390000,99.17
400000,99.1755
