Number of Branches Processed,Accuracy (%)
10000,99.59
20000,99.69
30000,99.70333333333333
40000,99.74499999999999
50000,99.724
60000,99.75166666666667
70000,99.75142857142856
80000,99.7625
90000,99.77000000000001
100000,99.76899999999999
110000,99.78272727272727
120000,99.79166666666667
130000,99.80384615384615
140000,99.6242857142857
150000,99.634
160000,99.653125
170000,99.6735294117647
180000,99.68555555555557
190000,99.68368421052631
200000,99.6905
210000,99.69571428571429
220000,99.70818181818181
230000,99.71826086956523
240000,99.72125
250000,99.7244
260000,99.72538461538461
270000,99.72148148148148
280000,99.7225
290000,99.72551724137931
300000,99.73166666666667
310000,99.73322580645161
320000,99.734375
330000,99.74242424242425
340000,99.74470588235295
350000,99.74942857142857
360000,99.7525
370000,99.75837837837838
380000,99.75736842105263
390000,99.7597435897436
400000,99.764
