Number of Branches Processed,Accuracy (%)
10000,90.12
20000,92.00500000000001
30000,92.2
40000,92.5
50000,92.398
60000,92.89666666666668
70000,93.15
80000,93.3625
90000,93.57
100000,93.64099999999999
110000,93.81
120000,93.94666666666667
130000,94.09076923076924
140000,93.99357142857143
150000,94.024
160000,94.155625
170000,94.32117647058823
180000,94.49722222222222
190000,94.47368421052632
200000,94.554
210000,94.62142857142857
220000,94.79045454545455
230000,94.92782608695653
240000,95.00541666666666
250000,95.0592
260000,95.05076923076923
270000,95.11148148148149
280000,95.15607142857144
290000,95.19620689655173
300000,95.28033333333333
310000,95.31193548387097
320000,95.28875
330000,95.34454545454545
340000,95.3379411764706
350000,95.35714285714286
360000,95.3561111111111
370000,95.43702702702703
380000,95.39
390000,95.37538461538462
400000,95.40475
