Number of Branches Processed,Accuracy (%)
10000,98.06
20000,99.03
30000,99.35333333333334
40000,99.1025
50000,99.264
60000,99.38666666666667
70000,98.89142857142858
80000,98.9875
90000,99.09777777777778
100000,99.188
110000,99.26181818181819
120000,99.32333333333332
130000,99.37384615384616
140000,99.41857142857144
150000,99.45733333333334
160000,99.49125
170000,99.52117647058823
180000,99.54777777777778
190000,99.57052631578948
200000,99.592
210000,99.61142857142858
220000,99.6290909090909
230000,99.64521739130436
240000,99.66000000000001
250000,99.6736
260000,99.68615384615384
270000,99.69777777777777
280000,99.70857142857142
290000,99.71862068965517
300000,99.72800000000001
310000,99.73677419354838
320000,99.74499999999999
330000,99.75272727272727
340000,99.76
350000,99.76685714285715
360000,99.77333333333334
370000,99.77945945945946
380000,99.78526315789473
390000,99.79076923076923
400000,99.79599999999999
