Number of Branches Processed,Accuracy (%)
10000,87.66000000000001
20000,86.95
30000,88.37
40000,89.75
50000,90.544
60000,91.21000000000001
70000,91.73571428571428
80000,91.985
90000,92.44777777777777
100000,92.692
110000,92.97909090909091
120000,93.3075
130000,93.48153846153846
140000,93.71142857142857
150000,93.82266666666666
160000,93.8775
170000,93.96470588235294
180000,94.01388888888889
190000,94.05
200000,94.097
210000,94.0604761904762
220000,94.12954545454545
230000,94.16956521739131
240000,94.20500000000001
250000,94.2704
260000,94.32192307692307
270000,94.33148148148149
280000,94.34821428571428
290000,94.39827586206897
300000,94.42266666666667
