Number of Branches Processed,Accuracy (%)
10000,78.03
20000,78.025
30000,80.62
40000,82.6575
50000,83.97
60000,85.00333333333333
70000,85.73428571428572
80000,86.03375
90000,86.65666666666667
100000,86.96199999999999
110000,87.40545454545455
120000,87.89833333333334
130000,88.20384615384616
140000,88.595
150000,88.78333333333333
160000,88.92
170000,89.05941176470589
180000,89.165
190000,89.30263157894737
200000,89.4075
210000,89.48095238095239
220000,89.57818181818182
230000,89.6804347826087
240000,89.75541666666666
250000,89.89920000000001
260000,90.03884615384615
270000,90.07962962962964
280000,90.15607142857142
290000,90.26275862068965
300000,90.35833333333333
