Number of Branches Processed,Accuracy (%)
10000,54.04
20000,54.175
30000,54.85333333333333
40000,55.8825
50000,56.128
60000,56.555
70000,57.607142857142854
80000,57.58875
90000,58.34222222222222
100000,58.626999999999995
110000,58.980909090909094
120000,59.48083333333334
130000,59.574615384615385
140000,60.10642857142857
150000,60.22533333333333
160000,60.34625
170000,60.49235294117648
180000,60.52444444444445
190000,60.67263157894737
200000,60.674499999999995
210000,60.70857142857143
220000,60.71818181818182
230000,60.72869565217391
240000,60.88666666666667
250000,61.104
260000,61.20038461538462
270000,61.349259259259256
280000,61.434999999999995
290000,61.55275862068965
300000,61.73266666666667
