Number of Branches Processed,Accuracy (%)
10000,66.97999999999999
20000,62.25000000000001
30000,63.306666666666665
40000,63.434999999999995
50000,64.546
60000,64.24
70000,64.42571428571429
80000,64.78625
90000,65.98333333333333
100000,66.351
110000,66.42727272727272
120000,66.31583333333333
130000,66.76692307692308
140000,66.83428571428571
150000,66.766
160000,66.76875
170000,67.12823529411764
180000,67.61777777777777
190000,67.89894736842105
200000,67.7615
210000,68.20238095238095
220000,68.62181818181818
230000,68.93434782608696
240000,69.28375
250000,69.0976
260000,69.38307692307693
270000,69.46185185185185
280000,69.69
290000,69.8251724137931
300000,69.89833333333333
310000,69.92903225806451
320000,69.87593749999999
330000,70.01212121212122
340000,69.9729411764706
350000,69.87628571428571
360000,69.99388888888889
370000,70.22513513513513
380000,70.40236842105263
390000,70.33615384615385
400000,70.40925
