Number of Branches Processed,Accuracy (%)
10000,85.46000000000001
20000,88.55
30000,90.41666666666667
40000,91.3
50000,89.464
60000,87.73333333333333
70000,88.81
80000,89.80375000000001
90000,90.67888888888889
100000,91.176
110000,91.78181818181818
120000,92.19000000000001
130000,91.98846153846154
140000,91.85642857142857
150000,92.21333333333334
160000,92.44125
170000,92.57823529411765
180000,92.81166666666667
190000,93.0357894736842
200000,92.461
210000,92.23761904761905
220000,91.93318181818182
230000,91.74173913043478
240000,91.6375
250000,91.6696
260000,91.78423076923077
270000,91.75999999999999
280000,91.86999999999999
290000,91.9751724137931
300000,92.02666666666667
310000,91.84096774193549
320000,91.5415625
330000,91.6148484848485
340000,91.77176470588235
350000,91.7477142857143
360000,91.90805555555556
370000,91.69810810810812
380000,91.62394736842106
390000,91.3374358974359
400000,91.14475
