Number of Branches Processed,Accuracy (%)
10000,77.10000000000001
20000,83.42500000000001
30000,84.21666666666667
40000,86.605
50000,87.822
60000,88.62833333333333
70000,89.58
80000,90.65375
90000,91.16
100000,91.643
110000,92.05454545454546
120000,91.54916666666666
130000,91.80384615384615
140000,91.98428571428572
150000,92.124
160000,92.095625
170000,92.30117647058823
180000,92.53222222222223
190000,92.45
200000,92.351
210000,92.40857142857143
220000,92.63454545454546
230000,92.79260869565218
240000,92.98041666666667
250000,93.086
260000,93.13461538461539
270000,93.20148148148148
280000,93.06892857142857
290000,93.21586206896552
300000,93.36866666666667
310000,93.4458064516129
320000,93.48093750000001
330000,93.43121212121213
340000,93.39058823529412
350000,93.41171428571428
360000,93.53055555555555
370000,93.53864864864865
380000,93.53078947368421
390000,93.54230769230769
400000,93.618
