Number of Branches Processed,Accuracy (%)
10000,82.58
20000,81.865
30000,79.95666666666666
40000,79.655
50000,79.38199999999999
60000,79.27
70000,79.30714285714285
80000,79.29
90000,79.13444444444444
100000,79.09
110000,79.0709090909091
120000,78.76916666666666
130000,78.30923076923077
140000,78.33214285714286
150000,78.358
160000,78.095625
170000,78.31235294117647
180000,78.07888888888888
190000,77.98736842105262
200000,78.154
210000,78.33857142857143
220000,78.38545454545455
230000,78.55043478260869
240000,78.66291666666667
250000,78.8344
260000,79.07192307692308
270000,78.91111111111111
280000,78.92607142857143
290000,78.97896551724138
300000,79.05733333333333
310000,79.08451612903225
320000,78.8921875
330000,78.62515151515152
340000,78.67941176470589
350000,78.67571428571428
360000,78.72611111111111
370000,78.6745945945946
380000,78.6871052631579
390000,78.66692307692308
400000,78.716
