Number of Branches Processed,Accuracy (%)
10000,81.89
20000,81.77499999999999
30000,79.95
40000,79.705
50000,79.45400000000001
60000,79.33
70000,79.48428571428572
80000,79.6675
90000,79.44333333333333
100000,79.509
110000,79.65363636363637
120000,79.2825
130000,78.85615384615384
140000,78.85642857142857
150000,78.91466666666666
160000,78.613125
170000,78.91117647058825
180000,78.77222222222223
190000,78.35842105263157
200000,78.2415
210000,78.46761904761905
220000,78.64727272727274
230000,78.87434782608696
240000,79.05041666666666
250000,79.2324
260000,79.45653846153846
270000,79.33111111111111
280000,79.36785714285715
290000,79.49586206896552
300000,79.65466666666666
310000,79.77741935483871
320000,79.71375
330000,79.43727272727273
340000,79.4214705882353
350000,79.46771428571428
360000,79.61444444444444
370000,79.56837837837838
380000,79.60131578947369
390000,79.58487179487179
400000,79.6895
